chr1	0	10000	121535434	124535434	249240621	249250621
chr2	0	10000	92326171	95326171	243189373	243199373
chr3	0	10000	90504854	93504854	198012430	198022430
chr4	0	10000	49660117	52660117	191144276	191154276
chr5	0	10000	46405641	49405641	180905260	180915260
chr6	0	10000	58830166	61830166	171105067	171115067
chr7	0	10000	58054331	61054331	159128663	159138663
chr8	0	10000	43838887	46838887	146354022	146364022
chr9	0	10000	47367679	50367679	141203431	141213431
chr10	0	10000	39254935	42254935	135524747	135534747
chr11	0	10000	51644205	54644205	134996516	135006516
chr12	0	10000	34856694	37856694	133841895	133851895
chr13	0	10000	16000000	19000000	115159878	115169878
chr14	0	10000	16000000	19000000	107339540	107349540
chr15	0	10000	17000000	20000000	102521392	102531392
chr16	0	10000	35335801	38335801	90344753	90354753
chr17	0	0	22263006	25263006	81195210	81195210
chr18	0	10000	15460898	18460898	78067248	78077248
chr19	0	10000	24681782	27681782	59118983	59128983
chr20	0	10000	26369569	29369569	63015520	63025520
chr21	0	10000	11288129	14288129	48119895	48129895
chr22	0	10000	13000000	16000000	51294566	51304566
chrX	0	10000	58632012	61632012	155260560	155270560
chrY	0	10000	10104553	13104553	59363566	59373566
